rule_id,pos_pattern,dep_pattern,position_pattern,feature_id,transformation,confidence,frequency,conditions
SYN_0000,PROPN,nsubj,initial,CONST-MOV,CONST-FRONT,1.0,1780,{}
SYN_0001,PROPN,compound,initial,CONST-MOV,CONST-FRONT,1.0,1308,{}
SYN_0002,NOUN,nsubj,initial,CONST-MOV,CONST-FRONT,1.0,1103,{}
SYN_0003,PROPN,root,initial,CONST-MOV,CONST-FRONT,1.0,839,{}
SYN_0004,ADJ,amod,initial,CONST-MOV,CONST-FRONT,1.0,716,{}
SYN_0005,NOUN,compound,initial,CONST-MOV,CONST-FRONT,1.0,642,{}
SYN_0006,PROPN,compound,initial,CONST-MOV,CONST-FRONT,1.0,507,{}
SYN_0007,VERB,root,medial,CONST-MOV,CONST-FRONT,1.0,482,{}
SYN_0008,VERB,root,initial,CONST-MOV,CONST-FRONT,1.0,312,{}
SYN_0009,NOUN,root,initial,CONST-MOV,CONST-FRONT,1.0,209,{}
SYN_0010,ADJ,amod,medial,CONST-MOV,CONST-FRONT,1.0,196,{}
SYN_0011,NOUN,compound,medial,CONST-MOV,CONST-FRONT,1.0,189,{}
SYN_0012,PROPN,nsubj,initial,TED-SIMPLE,10,1.0,169,{}
SYN_0013,PROPN,nmod,NOUN,CONST-MOV,CONST-FRONT,1.0,169,{}
SYN_0014,PROPN,nsubj,initial,CONST-MOV,CONST-POST,1.0,168,{}
SYN_0015,NOUN,nsubj,VERB,CONST-MOV,CONST-FRONT,1.0,153,{}
SYN_0016,ADJ,amod,initial,CONST-MOV,CONST-FRONT,1.0,145,{}
SYN_0017,NOUN,nsubj,medial,CONST-MOV,CONST-FRONT,1.0,128,{}
SYN_0018,PROPN,nsubj,initial,CLAUSE-TYPE-CHG,Fin,1.0,124,{}
SYN_0019,VERB,amod,initial,CONST-MOV,CONST-FRONT,1.0,116,{}
SYN_0020,PROPN,compound,initial,TED-SIMPLE,10,1.0,111,{}
SYN_0021,PROPN,compound,initial,CONST-MOV,CONST-POST,1.0,100,{}
SYN_0022,NOUN,nsubj,initial,TED-SIMPLE,10,1.0,98,{}
SYN_0023,PROPN,nsubj,initial,C-ADD,ABSENT,1.0,98,{}
SYN_0024,PROPN,compound,medial,CONST-MOV,CONST-FRONT,1.0,97,{}
