canonical,reference_headline,generated_headline,bleu1,bleu2,bleu4,meteor,rouge1,rouge2,rougeL,chrF,exact_match,length_ratio
Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",Priyanka and Akhilesh linked Unnao rape case accused to BJP .,0.6363636363636364,0.5640760748177662,0.47987820666906633,0.8687160326086956,0.9473684210526316,0.823529411764706,0.9473684210526316,0.9230769230769231,0.0,1.2222222222222223
The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end,Integrated command control centre be ready by end of December .,0.7272727272727273,0.6030226891555273,0.3508439695638686,0.7711943069306932,0.8000000000000002,0.5555555555555556,0.8000000000000002,0.967741935483871,0.0,1.1
A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,Teenager in Haryana was gang - raped twice in three months .,0.4166666666666667,0.337099931231621,0.22416933501922293,0.6453333333333334,0.7777777777777777,0.6250000000000001,0.7777777777777777,0.918918918918919,0.0,1.7142857142857142
Elections in 27 districts will be held on December 27 and 30.,"Elections in 27 districts to be held on December 27, 30",Elections in 27 districts be held on December 27 and 30 .,0.75,0.6396021490668313,0.4366835442847812,0.7412968524079636,0.9090909090909091,0.7,0.9090909090909091,0.918918918918919,0.0,1.0909090909090908
The Congress has said there is no law and order in Uttar Pradesh.,"No law and order in U.P., says Cong.",Congress said there be no law and order in Uttar Pradesh .,0.4166666666666667,0.3892494720807615,0.31702331385234306,0.701058201058201,0.5,0.4444444444444445,0.5,0.8571428571428571,0.0,1.5
APSRTC is set to hike bus fares.,APSRTC set to hike bus fare,APSRTC is set to hike bus fares .,0.625,0.5175491695067657,0.3655552228545123,0.9498207885304659,0.923076923076923,0.7272727272727272,0.923076923076923,0.9655172413793104,0.0,1.3333333333333333
Rahul Gandhi has described the BPCL sale as an outright theft.,BPCL sale an outright theft: Rahul Gandhi,Rahul Gandhi described BPCL sale as outright theft .,0.5555555555555556,0.372677996249965,0.07583235673413397,0.6194444444444446,0.7999999999999999,0.4615384615384615,0.5333333333333333,0.9444444444444444,0.0,1.2857142857142858
"For thieves, onions have become the bling thing.","For thieves, onions are the bling thing","For thieves , onions become bling thing .",0.5,0.26726124191242434,0.06985342056580097,0.4445422535211268,0.7692307692307692,0.5454545454545454,0.7692307692307692,0.8749999999999999,0.0,1.1428571428571428
Tension arose during an eviction drive.,Tension during eviction drive,Tension arise during eviction drive .,0.6666666666666666,0.5163977794943222,0.21711852081087685,0.8928571428571429,0.888888888888889,0.5714285714285715,0.888888888888889,0.923076923076923,0.0,1.5
"A day after the Telangana incident, a mob attacked the Walayar rape accused.","A day after Telangana incident, mob attacks Walayar rape accused","Day after Telangana incident , mob attack Walayar rape accused .",0.6363636363636364,0.504524979109513,0.16306686105372709,0.785891089108911,0.9473684210526316,0.9411764705882353,0.9473684210526316,0.9767441860465117,0.0,1.1
It has been said that there was more to the meeting between the Prime Minister and Pawar.,"‘There was more to PM, Pawar meet’",It been said that there be more to meeting between Prime Minister and Pawar .,0.2,0.11952286093343935,0.030934588294313718,0.3276353276353276,0.4761904761904762,0.10526315789473684,0.38095238095238093,0.6896551724137931,0.0,2.142857142857143
Three labourers were killed in a landslip.,Three labourers killed in landslip,Three labourers were killed in landslip .,0.7142857142857143,0.5976143046671969,0.20556680845025987,0.9307692307692308,0.9090909090909091,0.6666666666666665,0.9090909090909091,0.9375,0.0,1.4
Free spirit,Free spirit,Free spirit,1.0,1.0,0.316227766016838,0.9375,1.0,1.0,1.0,1.0,1.0,1.0
Path to enlightenment,Path to enlightenment,Path to enlightenment,1.0,1.0,0.5623413251903491,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,1.0
Braving the elements,Braving the elements,Braving elements,0.6065306597126334,0.19180183554164504,0.10785809837243004,0.3448275862068965,0.8,0.0,0.8,0.9600000000000001,0.0,0.6666666666666666
