sentence_id,source_headline,generated_canonical,rules_applied_count,events_triggered,success,error
0,BJP wants to make Ram mandir but Congress creating hurdles says Shah,BJP wants to make Ram mandir but Congress creating hurdles says Shah.,1,C-ADD:ABSENT→PERIOD,True,
1,Scientists close to observing first ever photo of a black hole,Scientists close to observing first ever photo of a black hole.,1,C-ADD:ABSENT→PERIOD,True,
2,Drunk man kills his daughter diagnosed with heart problem,Drunk man kills his daughter diagnosed with heart problem.,1,C-ADD:ABSENT→PERIOD,True,
3,One and half lakh toilets set up in Prayagraj for Kumbh Mela says CM Yogi,One and half lakh toilets set up in Prayagraj for Kumbh Mela says CM Yogi.,1,C-ADD:ABSENT→PERIOD,True,
4,Canada police can now demand breath samples in bars and at home,Canada police can now demand breath samples in bars and at home.,1,C-ADD:ABSENT→PERIOD,True,
5,"Once I retire,I won't pick up the bat again says Virat Kohli","Once I retire , I wo n't pick up the bat again says Virat Kohli.",1,C-ADD:ABSENT→PERIOD,True,
6,Android Co-founder paid money to own women says Google investor,Android Co - founder paid money to own women says Google investor.,1,C-ADD:ABSENT→PERIOD,True,
7,It's due to Cong says Chidambaram as govt doubles GST exemption limit,It 's due to Cong says Chidambaram as govt doubles GST exemption limit.,1,C-ADD:ABSENT→PERIOD,True,
8,Deeply inspired by Pak PM and Kejriwal says IAS topper from J&K,Deeply inspired by Pak PM and Kejriwal says IAS topper from J&K.,1,C-ADD:ABSENT→PERIOD,True,
9,WB CM mocks PM Modi for using teleprompter for english speeches,WB CM mocks PM Modi for using teleprompter for english speeches.,1,C-ADD:ABSENT→PERIOD,True,
10,Will bring Indian students to ISRO they don't need to go to NASA says Sivan,Will bring Indian students to ISRO they do n't need to go to NASA says Sivan.,1,C-ADD:ABSENT→PERIOD,True,
11,Boy jumps in front of metro after fight with family over phone use,Boy jumps in front of metro after fight with family over phone use.,1,C-ADD:ABSENT→PERIOD,True,
12,passengers and crew members fall sick on Royal Caribbean ship,passengers and crew members fall sick on Royal Caribbean ship.,1,C-ADD:ABSENT→PERIOD,True,
13,"Infosys third-quarter profit drops nearly 30% to ₹3,609 crore","Infosys third - quarter profit drops nearly 30 % to ₹ 3,609 crore.",1,C-ADD:ABSENT→PERIOD,True,
14,Mahindra suggests gift for tea selling couple who toured 23 nations,Mahindra suggests gift for tea selling couple who toured 23 nations.,1,C-ADD:ABSENT→PERIOD,True,
15,Wipro's aerospace business starts supplying parts to Boeing,Wipro 's aerospace business starts supplying parts to Boeing.,1,C-ADD:ABSENT→PERIOD,True,
16,I connect with women directors on a personal level says Vikrant,I connect with women directors on a personal level says Vikrant.,1,C-ADD:ABSENT→PERIOD,True,
17,Virat and Deepika listed as most valuable Indian celebrities,Virat and Deepika listed as most valuable Indian celebrities.,1,C-ADD:ABSENT→PERIOD,True,
18,'First' openly gay Latin rapper shot dead in Puerto Rico,' First ' openly gay Latin rapper shot dead in Puerto Rico.,1,C-ADD:ABSENT→PERIOD,True,
19,Not a political film says Producer Sandip on Modi biopic,Not a political film says Producer Sandip on Modi biopic.,1,C-ADD:ABSENT→PERIOD,True,
20,'The Accidental...' halted in Kolkata theatre amid protests,' The Accidental ... ' halted in Kolkata theatre amid protests.,1,C-ADD:ABSENT→PERIOD,True,
21,Kohli and Shastri receive honorary membership of SCG,Kohli and Shastri receive honorary membership of SCG.,1,C-ADD:ABSENT→PERIOD,True,
22,Head of Japan's Olympic Committee is under investigation,Head of Japan 's Olympic Committee is under investigation.,1,C-ADD:ABSENT→PERIOD,True,
23,New Zealand beats Sri Lanka by 35 runs in the sole T20I,New Zealand beats Sri Lanka by 35 runs in the sole T20I.,1,C-ADD:ABSENT→PERIOD,True,
24,Investor sues Google Founders for sexual harassment cover-up,An Investor sues Google Founders for sexual harassment cover - up.,2,FW-ADD:ABSENT→an|C-ADD:ABSENT→PERIOD,True,
25,Cong ready to fight elections alone in UP says Party leader,Cong ready to fight elections alone in UP says Party leader.,1,C-ADD:ABSENT→PERIOD,True,
26,From time to time a CBI probe should happen says Akhilesh Yadav,From time to time a CBI probe should happen says Akhilesh Yadav.,1,C-ADD:ABSENT→PERIOD,True,
27,Andhra to get special status if Cong wins says Rahul Gandhi,Andhra to get special status if Cong wins says Rahul Gandhi.,1,C-ADD:ABSENT→PERIOD,True,
28,Badal playing with religious sentiments of people says Punjab CM,A Badal playing with religious sentiments of people says Punjab CM.,2,FW-ADD:ABSENT→a|C-ADD:ABSENT→PERIOD,True,
29,Elon Musk shares first pic of SpaceX Starship test rocket,Elon Musk shares first pic of SpaceX Starship test rocket.,1,C-ADD:ABSENT→PERIOD,True,
30,'The country is a prison' says UN on N Korea human rights abuses,' The country is a prison ' says UN on N Korea human rights abuses.,1,C-ADD:ABSENT→PERIOD,True,
