pair_index,event_type,word/constituent,pos_label,parent_label,grandparent_label,additional_context
0,word_removed,Govt,NN,NP,NP,
0,word_removed,to,TO,VP,S,"['confer', '4', 'Padma', 'Vibhushan']"
0,word_removed,",",",",NP,ROOT,"['Govt', 'to', 'confer', '4', 'Padma', 'Vibhushan'], ['14', 'Padma', 'Bhushan', 'awards', 'this', 'year']"
0,word_removed,4,CD,NP,VP,"['Padma'], ['Vibhushan']"
0,word_removed,14,CD,NML,NP,"['Padma'], ['Bhushan']"
0,word_added,four,CD,NP,VP,"['Padma', 'Vibhushan', 'and', 'fourteen', 'Padma', 'Bhushan'], ['awards']"
0,word_added,The,DT,NP,S,['government']
0,word_added,fourteen,CD,NML,NML,"['Padma'], ['Bhushan']"
0,word_added,.,.,S,ROOT,"['The', 'government'], ['will', 'confer', 'four', 'Padma', 'Vibhushan', 'and', 'fourteen', 'Padma', 'Bhushan', 'awards', 'this', 'year']"
0,word_added,government,NN,NP,S,['The']
0,word_added,and,CC,NML,NP,"['Padma', 'Vibhushan'], ['fourteen', 'Padma', 'Bhushan']"
0,word_added,will,MD,VP,S,"['confer', 'four', 'Padma', 'Vibhushan', 'and', 'fourteen', 'Padma', 'Bhushan', 'awards', 'this', 'year']"
0,constituent_added,The government,NP,S,,
0,constituent_added,Padma Vibhushan,NML,NML,,
0,constituent_added,fourteen Padma Bhushan,NML,NML,,
0,constituent_added,Padma Vibhushan and fourteen Padma Bhushan,NML,NP,,
0,constituent_added,four Padma Vibhushan and fourteen Padma Bhushan awards,NP,VP,,
0,constituent_added,this year,NP,VP,,
0,constituent_added,confer four Padma Vibhushan and fourteen Padma Bhushan awards this year,VP,VP,,
0,constituent_added,will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year,VP,S,,
0,constituent_added,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year .,S,ROOT,,
0,constituent_added,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year .,ROOT,,,
0,constituent_removed,Govt,NP,NP,,
0,constituent_removed,4 Padma Vibhushan,NP,VP,,
0,constituent_removed,confer 4 Padma Vibhushan,VP,VP,,
0,constituent_removed,to confer 4 Padma Vibhushan,VP,S,,
0,constituent_removed,to confer 4 Padma Vibhushan,S,SBAR,,
0,constituent_removed,to confer 4 Padma Vibhushan,SBAR,NP,,
0,constituent_removed,Govt to confer 4 Padma Vibhushan,NP,NP,,
0,constituent_removed,14 Padma Bhushan,NML,NP,,
0,constituent_removed,14 Padma Bhushan awards,NP,NP,,
0,constituent_removed,this year,NP,NP,,
0,constituent_removed,14 Padma Bhushan awards this year,NP,NP,,
0,constituent_removed,"Govt to confer 4 Padma Vibhushan , 14 Padma Bhushan awards this year",NP,ROOT,,
0,constituent_removed,"Govt to confer 4 Padma Vibhushan , 14 Padma Bhushan awards this year",ROOT,,,
1,word_removed,as,IN,SBAR,S,"['Gambhir', 'asks', 'about', 'married', 'life']"
1,word_removed,jokes,VBZ,VP,S,
1,word_removed,behaal,NNP,NP,S,"['Haal'], ['hai']"
1,word_removed,",",",",S,ROOT,"['Haal', 'behaal', 'hai'], ['jokes'], ['Yuvraj'], ['as', 'Gambhir', 'asks', 'about', 'married', 'life']"
1,word_removed,Haal,NNP,NP,S,"['behaal'], ['hai']"
1,word_removed,hai,FW,NP,S,"['Haal'], ['behaal']"
1,word_removed,asks,VBZ,VP,S,"['about', 'married', 'life']"
1,word_added,asked,VBD,VP,S,"['him'], ['about', 'it']"
1,word_added,joked,VBD,VP,S,"['about', 'his', 'married', 'life'], ['when', 'Gambhir', 'asked', 'him', 'about', 'it']"
1,word_added,when,WRB,WHADVP,SBAR,
1,word_added,.,.,S,ROOT,"['Yuvraj'], ['joked', 'about', 'his', 'married', 'life', 'when', 'Gambhir', 'asked', 'him', 'about', 'it']"
1,word_added,his,PRP$,NP,PP,"['married'], ['life']"
1,word_added,it,PRP,NP,PP,
1,word_added,him,PRP,NP,VP,
1,constituent_added,Yuvraj,NP,S,,
1,constituent_added,his married life,NP,PP,,
1,constituent_added,about his married life,PP,VP,,
1,constituent_added,when,WHADVP,SBAR,,
1,constituent_added,him,NP,VP,,
1,constituent_added,it,NP,PP,,
1,constituent_added,about it,PP,VP,,
1,constituent_added,joked about his married life when Gambhir asked him about it,VP,S,,
1,constituent_added,Yuvraj joked about his married life when Gambhir asked him about it .,S,ROOT,,
1,constituent_added,Yuvraj joked about his married life when Gambhir asked him about it .,ROOT,,,
1,constituent_removed,Haal behaal hai,NP,S,,
1,constituent_removed,Haal behaal hai,S,S,,
1,constituent_removed,jokes,VP,S,,
1,constituent_removed,Yuvraj,NP,S,,
1,constituent_removed,married life,NP,PP,,
1,constituent_removed,about married life,PP,VP,,
1,constituent_removed,"Haal behaal hai , jokes Yuvraj as Gambhir asks about married life",S,ROOT,,
1,constituent_removed,"Haal behaal hai , jokes Yuvraj as Gambhir asks about married life",ROOT,,,
2,word_removed,I,PRP,NP,S,
2,word_removed,",",",",NP,S,"['Hardik'], ['Rahul']"
2,word_removed,:,:,S,ROOT,"['Hardik', ',', 'Rahul', 'were', 'gracious', 'when', 'I', 'apologised', 'to', 'them'], ['Karan', 'Johar']"
2,word_added,said,VBN,VP,VP,"['that', 'Hardik', 'and', 'Rahul', 'were', 'gracious', 'when', 'he', 'apologised', 'to', 'them']"
