headline,reference_canonical,generated_canonical,bleu1,bleu2,bleu4,meteor,rouge1,rouge2,rougeL,chrF,exact_match,length_ratio
"﻿Priyanka, Akhilesh link Unnao rape case accused to BJP",Priyanka and Akhilesh have linked the Unnao rape case accused to the BJP.,"﻿Priyanka , Akhilesh link Unnao rape case accused to BJP.",0.5185727544772025,0.4132086614483284,0.31654199979887593,0.5905511811023622,0.8181818181818181,0.4,0.8181818181818181,0.9268292682926829,0.0,0.7692307692307693
Integrated command control centre to be ready by Dec. end,The integrated command control centre will be ready by the end of December.,Integrated command control centre to be ready by Dec. end.,0.5185727544772025,0.46198132794507957,0.28145006032744296,0.5447533344046279,0.6956521739130435,0.4761904761904762,0.6956521739130435,0.9090909090909091,0.0,0.7692307692307693
Haryana teen ‘gang-raped’ twice in three months,A teenager in Haryana was gang-raped twice in three months.,A Haryana teen ‘ gang - raped ’ twice in three months.,0.5,0.3692744729379982,0.23462350320528,0.5514705882352942,0.7999999999999999,0.5555555555555556,0.7999999999999999,0.9473684210526316,0.0,1.2
"Elections in 27 districts to be held on December 27, 30",Elections in 27 districts will be held on December 27 and 30.,"Elections in 27 districts to be held on December 27 , 30.",0.8333333333333334,0.7282190812544191,0.5452469119630863,0.8220833333333335,0.8695652173913043,0.6666666666666666,0.8695652173913043,0.9230769230769231,0.0,1.0
"No law and order in U.P., says Cong.",The Congress has said there is no law and order in Uttar Pradesh.,"No law and order in U.P. , says Cong .",0.37040911034085894,0.34922505831372996,0.2910042507378282,0.39212598425196854,0.4545454545454546,0.4,0.4545454545454546,0.8823529411764706,0.0,0.7692307692307693
APSRTC set to hike bus fare,APSRTC is set to hike bus fares.,APSRTC set to hike bus fare.,0.7054014374088451,0.5985529678206387,0.4548019047027907,0.7014492753623188,0.923076923076923,0.7272727272727272,0.923076923076923,1.0,0.0,0.8571428571428571
BPCL sale an outright theft: Rahul Gandhi,Rahul Gandhi has described the BPCL sale as an outright theft.,BPCL is sale an outright theft : Rahul Gandhi.,0.44485411273156,0.2110128334087557,0.05106074763790193,0.3444444444444445,0.7368421052631579,0.3529411764705882,0.5263157894736842,0.972972972972973,0.0,0.8181818181818182
"For thieves, onions are the bling thing","For thieves, onions have become the bling thing.","For thieves , onions are the bling thing.",0.625,0.42257712736425823,0.1561969968460128,0.5575,0.7999999999999999,0.6153846153846153,0.7999999999999999,0.9411764705882353,0.0,1.0
Tension during eviction drive,Tension arose during an eviction drive.,A Tension during eviction drive.,0.6549846024623855,0.3661475238303926,0.11062691203042492,0.534957627118644,0.7272727272727272,0.22222222222222224,0.7272727272727272,1.0,0.0,0.8333333333333334
"A day after Telangana incident, mob attacks Walayar rape accused","A day after the Telangana incident, a mob attacked the Walayar rape accused.","A day after Telangana incident , mob attacks Walayar rape accused.",0.6063657586001313,0.44969288215569075,0.14057272542703966,0.6428433641975309,0.8695652173913044,0.5714285714285715,0.8695652173913044,0.9777777777777777,0.0,0.8461538461538461
"‘There was more to PM, Pawar meet’",It has been said that there was more to the meeting between the Prime Minister and Pawar.,"‘ There was more to PM , Pawar meet ’.",0.19863412151656382,0.18132731507474048,0.130448484795528,0.2969325153374233,0.5,0.2727272727272727,0.4166666666666667,0.7333333333333334,0.0,0.5882352941176471
Three labourers killed in landslip,Three labourers were killed in a landslip.,Three labourers killed in landslip.,0.6703200460356393,0.47398785011707933,0.11389034164225112,0.6558823529411766,0.8333333333333333,0.4,0.8333333333333333,0.9696969696969697,0.0,0.7142857142857143
Free spirit,Free spirit,Free spirit.,0.5,0.223606797749979,0.1495348781221221,0.25,1.0,1.0,1.0,0.9333333333333333,0.0,1.0
Path to enlightenment,Path to enlightenment,A Path to enlightenment.,0.5,0.408248290463863,0.16990442448471224,0.6048387096774195,0.8571428571428571,0.8,0.8571428571428571,0.9565217391304348,0.0,1.3333333333333333
Braving the elements,Braving the elements,is Braving the elements.,0.5,0.408248290463863,0.16990442448471224,0.6048387096774195,0.8571428571428571,0.8,0.8571428571428571,0.962962962962963,0.0,1.3333333333333333
Path to enlightenment,Path to enlightenment,A Path to enlightenment.,0.5,0.408248290463863,0.16990442448471224,0.6048387096774195,0.8571428571428571,0.8,0.8571428571428571,0.9565217391304348,0.0,1.3333333333333333
Fraudulent trades: I-T raids on brokers,The Income Tax Department raided brokers for fraudulent trades.,Fraudulent trades : I - T raids on brokers.,0.11111111111111109,0.03726779962499649,0.023980296761827107,0.1111111111111111,0.5,0.14285714285714288,0.25,0.8108108108108107,0.0,1.0
Free Ride Scheme for women,The Free Ride Scheme for women has been introduced.,Free Ride Scheme for women.,0.35946317129377725,0.3480487189989258,0.3004843884984905,0.46148255813953487,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.8666666666666666,0.0,0.5555555555555556
Justice can never be instant: CJI,The Chief Justice of India has said that justice can never be instant.,A Justice can never be instant : CJI.,0.26763071425949514,0.247777894577925,0.18505100105615155,0.3175,0.5,0.4444444444444444,0.5,0.8387096774193549,0.0,0.6153846153846154
Namma Metro parking lots remain safety hazard,Namma Metro parking lots remain a safety hazard.,Namma Metro parking lots remain safety hazard.,0.8668778997501817,0.7913476338264609,0.6129752413741056,0.8757427021441488,0.9333333333333333,0.7692307692307692,0.9333333333333333,1.0,0.0,0.875
Priority for Kannadigas in private sector jobs,Priority will be given to Kannadigas in private sector jobs.,A Priority for Kannadigas in private sector jobs.,0.5841005873035536,0.5098447913879421,0.4213952948452608,0.600907029478458,0.6666666666666665,0.5,0.6666666666666665,0.9230769230769231,0.0,0.8
Disqualified MLAs lobby for key portfolios,Disqualified MLAs are lobbying for key portfolios.,Disqualified MLAs lobby for key portfolios.,0.7054014374088451,0.5985529678206387,0.21506254256566312,0.8534621578099838,0.923076923076923,0.7272727272727272,0.923076923076923,0.9473684210526316,0.0,0.8571428571428571
Basic amenities missing at govt. schools in Nuh,Basic amenities are missing at government schools in Nuh.,Basic amenities missing at govt . schools in Nuh.,0.7777777777777778,0.6236095644623236,0.1744391898986843,0.7471655328798186,0.823529411764706,0.5333333333333333,0.823529411764706,0.9696969696969697,0.0,1.0
Two AMU students booked for sharing post,Two AMU students have been booked for sharing a post.,Two AMU students booked for sharing post.,0.6514390575310556,0.5318977631568871,0.18614483004741206,0.6932463707132337,0.8235294117647058,0.5333333333333333,0.8235294117647058,0.9743589743589743,0.0,0.7
Probe politician-gangster nexus in Punjab: CM,The Chief Minister has ordered a probe into the politician-gangster nexus in Punjab.,Probe politician - gangster nexus in Punjab : CM.,0.2137267961433182,0.13088039872774232,0.035984468898536105,0.2028218694885362,0.5714285714285714,0.42105263157894735,0.5714285714285714,0.9047619047619048,0.0,0.6923076923076923
‘Zero FIR’ lodged in Subedari PS,A 'Zero FIR' has been lodged in Subedari police station.,‘ Zero FIR ’ lodged in Subedari PS.,0.2920502936517768,0.25492239569397107,0.10706237461457326,0.300453514739229,0.625,0.42857142857142855,0.625,0.8421052631578948,0.0,0.8
Flood victims’ wait continues for farmland,Flood victims' wait for farmland continues.,Flood victims ’ wait continues for farmland.,0.42857142857142855,0.08451542547285168,0.043472087194499145,0.24590163934426232,1.0,0.6,0.8333333333333334,0.9444444444444444,0.0,1.1666666666666667
‘Climate change triggers spike in onion price’,It has been said that climate change has triggered a spike in onion prices.,‘ Climate change triggers spike in onion price ’.,0.3187519004096849,0.2618814091530369,0.0856254083933825,0.4166666666666667,0.6666666666666666,0.42105263157894735,0.6666666666666666,0.8888888888888888,0.0,0.6428571428571429
Lobbying for key portfolios by disqualified MLAs,Disqualified MLAs are lobbying for key portfolios.,is Lobbying for key portfolios by disqualified MLAs.,0.5,0.3779644730092272,0.1477219991186121,0.5281690140845071,0.7999999999999999,0.6153846153846153,0.5333333333333333,1.0,0.0,1.1428571428571428
Flood victims’ wait continues for farmland,Flood victims' wait for farmland continues.,Flood victims ’ wait continues for farmland.,0.42857142857142855,0.08451542547285168,0.043472087194499145,0.24590163934426232,1.0,0.6,0.8333333333333334,0.9444444444444444,0.0,1.1666666666666667
‘Black pepper prices fell due to more production’,'Black pepper prices fell due to more production',‘ Black pepper prices fell due to more production ’.,0.6,0.5773502691896258,0.5169731539571706,0.7300135501355014,1.0,1.0,1.0,0.8947368421052632,0.0,1.25
national,national,national.,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.923076923076923,0.0,1.0
63.44% polling in Jharkhand phase 2,"In the second phase in Jharkhand, 63.44% polling was recorded.",63.44 % polling in Jharkhand phase 2.,0.2791881675133095,0.055056649116870665,0.028319415510892395,0.15463917525773196,0.6666666666666665,0.37499999999999994,0.33333333333333326,0.8837209302325583,0.0,0.7
We killed 103 in two years: U.P. police,The U.P. police have stated that they killed 103 people in two years.,We killed 103 in two years : U.P. police.,0.35621132690553037,0.23895382239484972,0.0486222199463509,0.353968253968254,0.6956521739130435,0.4761904761904762,0.43478260869565216,0.9302325581395349,0.0,0.6923076923076923
Intense lobbying for key posts by disqualified MLAs in Karnataka,Disqualified MLAs in Karnataka are intensively lobbying for key posts.,Intense lobbying for key posts by disqualified MLAs in Karnataka.,0.6,0.5163977794943222,0.17567205239427922,0.6918367346938775,0.9,0.7777777777777778,0.5,0.975609756097561,0.0,1.0
"Suitcase unlocks tale of betrayal, murder",A suitcase has unlocked a tale of betrayal and murder.,"A Suitcase unlocks tale of betrayal , murder.",0.5841005873035536,0.44153854132913556,0.1409020089952245,0.5841316118284048,0.8235294117647058,0.4,0.8235294117647058,0.9473684210526315,0.0,0.8
"Ministers, MP face protest at victim’s village",Ministers and an MP faced protests at a victim's village.,"Ministers , MP face protest at victim ’s village.",0.39770636302860873,0.06669738471121338,0.03034691922392704,0.5681818181818182,0.8421052631578948,0.588235294117647,0.8421052631578948,0.8888888888888888,0.0,0.9
Petitions in SC seek probe into Hyderabad killings,Petitions have been filed in the Supreme Court seeking a probe into Hyderabad killings.,Petitions in SC seek probe into Hyderabad killings.,0.354274914555761,0.2678066627609144,0.1807288326053167,0.47365214742613465,0.6363636363636364,0.3,0.6363636363636364,0.9,0.0,0.5714285714285714
