newspaper,sentence_id,parse_type,feature_id,feature_name,mnemonic,canonical_value,headline_value,canonical_context,headline_context,added_punctuation,position,context,before,after,deleted_punctuation
Hindustan-Times,1,dependency,FW-DEL,Function Word Deletion,FW-DEL,ART-DEL,ABSENT,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,dependency,FW-DEL,Function Word Deletion,FW-DEL,CCONJ-DEL,ABSENT,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,dependency,FW-DEL,Function Word Deletion,FW-DEL,AUX-DEL,ABSENT,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,dependency,C-DEL,Content Word Deletion,C-DEL,NOUN-DEL,ABSENT,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,dependency,C-ADD,Content Word Addition,C-ADD,ABSENT,NOUN-ADD,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,det,root,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nsubj,mark,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,aux,acl,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,root,nummod,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nummod,compound,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
