sentence_id,direction,rule_id,rule_type,source_token,target_token,position,confidence
0,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,1,0.8
0,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,3,0.95
0,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,wants,want,5,0.8
0,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,8,0.95
0,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,12,0.95
0,C2H,FW-DEL-AUX-IS,FW-DEL,is,<DELETED>,14,0.9
0,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,14,0.95
1,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,5,0.95
1,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,10,0.95
1,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,12,0.95
2,C2H,FW-DEL-ARTICLE-A,FW-DEL,A,<DELETED>,0,0.95
2,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,killed,kill,3,0.8
2,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,10,0.95
2,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,12,0.95
3,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,2,0.8
3,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,6,0.95
3,C2H,FW-DEL-AUX-HAVE,FW-DEL,have,<DELETED>,10,0.9
3,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,17,0.95
3,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,18,0.95
4,C2H,FW-DEL-AUX-CAN,FW-DEL,can,<DELETED>,3,0.9
4,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,13,0.95
5,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,2,0.8
5,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,retire,retire,7,0.8
5,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,14,0.95
6,C2H,FW-DEL-ARTICLE-A,FW-DEL,A,<DELETED>,0,0.95
6,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,3,0.8
6,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,5,0.95
6,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,paid,pay,10,0.8
6,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,14,0.95
7,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,1,0.8
7,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,12,0.95
7,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,doubled,double,14,0.8
7,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,15,0.95
7,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,18,0.95
8,C2H,FW-DEL-ARTICLE-AN,FW-DEL,An,<DELETED>,0,0.95
8,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,5,0.8
8,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,12,0.95
8,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,16,0.95
9,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,0,0.95
9,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,mocked,mock,5,0.8
9,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,10,0.95
9,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,14,0.95
10,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,1,0.8
