headline,reference_canonical,generated_canonical,bleu1,bleu2,bleu4,meteor,rouge1,rouge2,rougeL,chrF,exact_match,length_ratio
BJP wants to make Ram mandir but Congress creating hurdles says Shah,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah.,0.49443047265033274,0.3849136009195669,0.21524015584989478,0.5215114104002992,0.7586206896551724,0.4444444444444444,0.6896551724137931,0.9767441860465117,0.0,0.7058823529411765
Scientists close to observing first ever photo of a black hole,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole.,0.8337529180751805,0.7457312805019667,0.5991417036512656,0.8506585743801651,0.9166666666666666,0.7272727272727272,0.9166666666666666,1.0,0.0,0.8461538461538461
Drunk man kills his daughter diagnosed with heart problem,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem.,0.5699381230488485,0.4274535922866364,0.06503127639110676,0.701058201058201,0.8181818181818181,0.6,0.8181818181818181,1.0,0.0,0.6923076923076923
One and half lakh toilets set up in Prayagraj for Kumbh Mela says CM Yogi,CM Yogi said that one and a half lakh toilets have been set up in Prayagraj for the Kumbh Mela.,One and half lakh toilets set up in Prayagraj for Kumbh Mela says CM Yogi.,0.5732250484590314,0.45317419124773295,0.2711699229360488,0.5931267806267805,0.8,0.5454545454545454,0.6857142857142857,0.9777777777777777,0.0,0.75
Canada police can now demand breath samples in bars and at home,Police in Canada can now demand breath samples in bars and at home.,Canada police can now demand breath samples in bars and at home.,0.9200444146293233,0.8322114855784462,0.7771549698556199,0.9229651162790697,0.9600000000000001,0.7826086956521738,0.8799999999999999,1.0,0.0,0.9230769230769231
"Once I retire,I won't pick up the bat again says Virat Kohli","Virat Kohli said, ""Once I retire, I won't pick up the bat again.""","Once I retire , I wo n't pick up the bat again says Virat Kohli.",0.4666666666666667,0.3162277660168379,0.1892240568795935,0.48082869511440934,0.8275862068965518,0.6666666666666666,0.689655172413793,0.9333333333333332,0.0,1.1538461538461537
Android Co-founder paid money to own women says Google investor,A Google investor said that the Android co-founder paid money to own women.,Android Co - founder paid money to own women says Google investor.,0.46002220731466165,0.33974891629179244,0.21586404366478298,0.436046511627907,0.8,0.6956521739130435,0.64,0.9767441860465117,0.0,0.9230769230769231
It's due to Cong says Chidambaram as govt doubles GST exemption limit,"Chidambaram said, ""It's due to Congress,"" as the government doubled the GST exemption limit.",It 's due to Cong says Chidambaram as govt doubles GST exemption limit.,0.49859442696124706,0.339734835347394,0.09739086765213541,0.505283273381295,0.7142857142857142,0.3846153846153846,0.6428571428571429,0.9333333333333332,0.0,0.9285714285714286
Deeply inspired by Pak PM and Kejriwal says IAS topper from J&K,An IAS topper from J&K said that he is deeply inspired by the Pakistan PM and Kejriwal.,Deeply inspired by Pak PM and Kejriwal says IAS topper from J&K.,0.4394937534669624,0.36290002317487763,0.10619702545383111,0.47206439393939403,0.7096774193548387,0.5517241379310345,0.3870967741935484,0.975609756097561,0.0,0.7058823529411765
WB CM mocks PM Modi for using teleprompter for english speeches,The West Bengal Chief Minister mocked PM Modi for using a teleprompter for English speeches.,WB CM mocks PM is Modi for using teleprompter for english speeches.,0.5192005220476033,0.428715721206826,0.2468980050800965,0.600907029478458,0.6666666666666665,0.4799999999999999,0.6666666666666665,0.975609756097561,0.0,0.8
