headline,reference_canonical,generated_canonical,bleu1,bleu2,bleu4,meteor,rouge1,rouge2,rougeL,chrF,exact_match,length_ratio
"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan , 14 Padma Bhushan awards this year.",0.5698222022414253,0.4688786183641642,0.31843164596791895,0.716546762589928,0.6153846153846153,0.41666666666666663,0.6153846153846153,0.9130434782608695,0.0,0.9285714285714286
"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai , jokes Yuvraj as Gambhir asks about married life.",0.3333333333333333,0.055048188256318034,0.024088562704853513,0.35532407407407407,0.6086956521739131,0.1904761904761905,0.34782608695652173,0.9302325581395349,0.0,1.0
"Hardik, Rahul were gracious when I apologised to them: Karan Johar",Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik , Rahul were gracious when I apologised to them : Karan Johar.",0.5276331810218101,0.3883275066603749,0.21188545090327654,0.5067567567567567,0.7692307692307692,0.5,0.6153846153846153,0.9523809523809523,0.0,0.8666666666666667
Sarfaraz personally apologises to SA player he called 'Abey Kaale',Sarfaraz has personally apologised to the South African player he called 'Abey Kaale'.,Sarfaraz personally apologises to SA player he called ' Abey Kaale '.,0.46002220731466165,0.27740382852614875,0.09223590100611109,0.5212782787533617,0.7826086956521738,0.5714285714285715,0.7826086956521738,0.9767441860465117,0.0,0.9230769230769231
We forgive Sarfaraz but won't take his remarks lightly: SA captain,"The South African captain has said, ""We forgive Sarfaraz but won't take his remarks lightly.""",We forgive Sarfaraz but wo n't take his remarks lightly : SA captain.,0.39572488576635756,0.3363014857561555,0.11088337922065497,0.3978978978978979,0.6896551724137931,0.5185185185185186,0.6206896551724138,0.923076923076923,0.0,0.8666666666666667
"Hardik Pandya, KL Rahul have really suffered: Azharuddin",Azharuddin has said that Hardik Pandya and KL Rahul have really suffered.,"Hardik Pandya , KL Rahul have really suffered : Azharuddin.",0.49123845184678916,0.4227907428931841,0.2557665697125104,0.4990583804143125,0.8,0.5555555555555556,0.7000000000000001,0.918918918918919,0.0,0.8333333333333334
"Gambhir, Chhetri among 9 sports personalities to get Padma Awards",Gambhir and Chhetri are among nine sports personalities to receive Padma Awards.,"Gambhir , Chhetri among 9 sports personalities to get Padma Awards.",0.6640732482052818,0.42650876612332295,0.1204731312885784,0.7231040564373898,0.7272727272727272,0.3,0.7272727272727272,0.9230769230769231,0.0,0.9166666666666666
"Zuckerberg may integrate WhatsApp, Instagram, Messenger: NYT","The New York Times has reported that Zuckerberg may integrate WhatsApp, Instagram, and Messenger.","Zuckerberg may integrate WhatsApp , Instagram , Messenger : NYT.",0.20109601381069178,0.17307589166166795,0.07001843277722804,0.21650326797385622,0.5714285714285714,0.42105263157894735,0.5714285714285714,0.9302325581395349,0.0,0.7142857142857143
Angola decriminalises homosexuality,Angola has decriminalised homosexuality.,Angola decriminalises homosexuality.,0.47768754038252614,0.13082012065333476,0.09681772177713914,0.6552706552706553,0.8571428571428571,0.4,0.8571428571428571,1.0,0.0,0.75
"Zee firms lose ₹14,000 crore market value in a day after media report","Zee firms lost ₹14,000 crore in market value in a day after a media report.","Zee firms lose ₹ 14,000 crore market value in a day after media report.",0.7315493269103036,0.6056038593913453,0.41232116527739854,0.6783515447334848,0.8666666666666666,0.6428571428571429,0.8666666666666666,1.0,0.0,0.9333333333333333
Nirav Modi's ₹100-crore sea-facing Alibaug bungalow being demolished,Nirav Modi's ₹100-crore sea-facing Alibaug bungalow is being demolished.,Nirav Modi 's ₹ 100 - crore sea - facing Alibaug bungalow being demolished.,0.3571428571428572,0.23440361546924776,0.04516881220954754,0.4694736842105264,0.9565217391304348,0.8571428571428572,0.9565217391304348,1.0,0.0,1.5555555555555556
Malayalam actress Manju denies campaigning for Congress,Malayalam actress Manju has denied campaigning for the Congress.,Malayalam actress Manju denies campaigning for Congress.,0.6441233940645307,0.4919573683654302,0.16168292860728858,0.7641465677179964,0.8750000000000001,0.5714285714285715,0.8750000000000001,0.9743589743589743,0.0,0.7777777777777778
'Roma' actor may miss Oscars after US visa was denied thrice,The actor from 'Roma' may miss the Oscars after his US visa was denied three times.,' Roma ' actor may miss Oscars after US visa was denied thrice.,0.5496387631047355,0.4264048680752655,0.21365324973627853,0.5480852402296139,0.7407407407407406,0.4,0.6666666666666666,1.0,0.0,0.8125
Language politicians use spoils younger generation: Gulzar,Gulzar has said that the language politicians use spoils the younger generation.,A Language politicians use spoils younger generation : Gulzar.,0.3980729503187718,0.327050301633337,0.22613617379612147,0.41367521367521376,0.7000000000000001,0.4444444444444444,0.6,0.9142857142857143,0.0,0.75
"Who is Bhupen Hazarika, late singer who was awarded Bharat Ratna?","Who is Bhupen Hazarika, late singer who was awarded Bharat Ratna?","Who is Bhupen Hazarika , late singer who was awarded Bharat Ratna ?",0.6923076923076923,0.6354889093022426,0.48442732379638637,0.7991622574955908,1.0,1.0,1.0,1.0,0.0,1.1818181818181819
Late actor Kader Khan conferred with Padma Shri,The late actor Kader Khan has been conferred with the Padma Shri.,Late actor Kader Khan conferred with Padma Shri.,0.6065306597126334,0.5126119676794262,0.2833335058083107,0.6714709051724137,0.8,0.5555555555555556,0.8,0.972972972972973,0.0,0.6666666666666666
Shami has been a revelation since Australia series: Manjrekar,Manjrekar has said that Shami has been a revelation since the Australia series.,Shami has been a revelation since Australia series : Manjrekar.,0.5185727544772025,0.46198132794507957,0.39803049244579564,0.5447533344046279,0.8181818181818181,0.6,0.7272727272727274,0.9473684210526315,0.0,0.7692307692307693
Yuvraj hits 1st fifty in competitive cricket since October 2018,Yuvraj hit his first fifty in competitive cricket since October 2018.,Yuvraj hits 1st fifty in competitive cricket since October 2018.,0.7238699344287677,0.6607998196440359,0.5977653345720249,0.9137614678899082,0.8571428571428572,0.7368421052631577,0.8571428571428572,1.0,0.0,0.9090909090909091
Saina Nehwal enters Indonesia Masters semi-finals,Saina Nehwal has entered the Indonesia Masters semi-finals.,Saina Nehwal enters Indonesia Masters semi - finals.,0.5,0.3779644730092272,0.08307018474412793,0.5575,0.8750000000000001,0.5714285714285715,0.8750000000000001,1.0,0.0,1.0
"If Priyanka trump card, why Cong played with joker: Paresh Rawal","Paresh Rawal has said, ""If Priyanka is a trump card, why did the Congress play with a joker?""","If Priyanka trump card , why Cong played with joker : Paresh Rawal.",0.26181246089360977,0.03853775077395287,0.01581527838933483,0.24365079365079365,0.6896551724137931,0.37037037037037035,0.5517241379310345,0.9166666666666666,0.0,0.7222222222222222
Bengaluru-based bike taxi app Rapido raises ₹52 crore,The Bengaluru-based bike taxi app Rapido has raised ₹52 crore.,Bengaluru - based bike taxi app Rapido raises ₹ 52 crore.,0.45454545454545453,0.3692744729379982,0.24808415001701817,0.5569306930693068,0.9,0.7777777777777777,0.9,0.9777777777777777,0.0,1.1
"Designed to last 90 days, NASA rover completes 15 years on Mars","NASA's rover, designed to last 90 days, has completed 15 years on Mars.","Designed to last 90 days , NASA rover completes 15 years on Mars.",0.6153846153846154,0.5547001962252291,0.3867706276352344,0.6885090218423551,0.923076923076923,0.6666666666666667,0.7692307692307692,0.9565217391304348,0.0,1.0
Will encourage those who want to have four kids: Andhra CM,The Andhra Chief Minister has said that he will encourage those who want to have four children.,Will encourage those who want to have four kids : Andhra CM.,0.49443047265033274,0.4554359145280646,0.4163468725645407,0.5424616535727647,0.6428571428571428,0.5384615384615384,0.5714285714285714,0.9500000000000001,0.0,0.7058823529411765
I&B Ministry increases ad rates for private TV channels,The Information and Broadcasting Ministry has increased ad rates for private TV channels.,I&B Ministry increases ad rates for private TV channels.,0.4986958576677425,0.4470416673307789,0.3914236894465537,0.6299603174603176,0.6956521739130435,0.5714285714285715,0.6956521739130435,0.9500000000000001,0.0,0.6923076923076923
LS polls 'once-in-a-century moment': President Kovind,President Kovind has called the 2019 Lok Sabha polls a 'once-in-a-century moment'.,LS polls ' once - in - a - century moment ' : President Kovind.,0.2,0.03779644730092273,0.017395797375642234,0.12195121951219512,0.6666666666666667,0.45454545454545453,0.5,0.8510638297872339,0.0,1.25
Sahitya Akademi winning writer Krishna Sobti passes away at 93,The Sahitya Akademi-winning writer Krishna Sobti has passed away at the age of 93.,Sahitya Akademi winning writer Krishna Sobti passes away at 93.,0.4692240322249475,0.3237953442541832,0.09576998001898983,0.551470588235294,0.8,0.6086956521739131,0.8,0.9523809523809523,0.0,0.7142857142857143
India's pluralism is its greatest strength: President Kovind,President Kovind has said that India's pluralism is its greatest strength.,India 's pluralism is its greatest strength : President Kovind.,0.45241870901797976,0.36939832906091624,0.2513293635022765,0.4440366972477064,0.8571428571428571,0.7368421052631579,0.6666666666666666,0.9743589743589743,0.0,0.9090909090909091
"Pranab Mukherjee, N Deshmukh and B Hazarika awarded Bharat Ratna","Pranab Mukherjee, N. Deshmukh, and B. Hazarika have been awarded the Bharat Ratna.","Pranab Mukherjee , N Deshmukh and B Hazarika awarded Bharat Ratna.",0.4547743189500984,0.19472272992393505,0.04374152137028269,0.3331163194444444,0.8695652173913044,0.6666666666666666,0.8695652173913044,0.9743589743589743,0.0,0.8461538461538461
