feature_id,canonical_value,headline_value,transformation,count,percentage
FORM-CHG,said,says,said→says,4,4.49438202247191
FORM-CHG,‘,’,‘→’,3,3.3707865168539324
FORM-CHG,Passengers,passengers,Passengers→passengers,2,2.247191011235955
FORM-CHG,looted,loot,looted→loot,2,2.247191011235955
FORM-CHG,high,High,high→High,2,2.247191011235955
FORM-CHG,tried,try,tried→try,2,2.247191011235955
FORM-CHG,concluded,concludes,concluded→concludes,2,2.247191011235955
FORM-CHG,shot,shoots,shot→shoots,2,2.247191011235955
FORM-CHG,has,have,has→have,2,2.247191011235955
FORM-CHG,shared,shares,shared→shares,1,1.1235955056179776
FORM-CHG,fell,fall,fell→fall,1,1.1235955056179776
FORM-CHG,beat,beats,beat→beats,1,1.1235955056179776
FORM-CHG,suggested,suggests,suggested→suggests,1,1.1235955056179776
FORM-CHG,burned,burn,burned→burn,1,1.1235955056179776
FORM-CHG,broke,breaks,broke→breaks,1,1.1235955056179776
FORM-CHG,got,get,got→get,1,1.1235955056179776
FORM-CHG,years,yrs,years→yrs,1,1.1235955056179776
FORM-CHG,fired,fires,fired→fires,1,1.1235955056179776
FORM-CHG,took,takes,took→takes,1,1.1235955056179776
FORM-CHG,cancelled,cancels,cancelled→cancels,1,1.1235955056179776
FORM-CHG,landed,lands,landed→lands,1,1.1235955056179776
FORM-CHG,tweeted,tweets,tweeted→tweets,1,1.1235955056179776
FORM-CHG,has,had,has→had,1,1.1235955056179776
FORM-CHG,him,he,him→he,1,1.1235955056179776
FORM-CHG,sales,sale,sales→sale,1,1.1235955056179776
FORM-CHG,cut,cuts,cut→cuts,1,1.1235955056179776
FORM-CHG,made,makes,made→makes,1,1.1235955056179776
FORM-CHG,saying,says,saying→says,1,1.1235955056179776
FORM-CHG,lost,loses,lost→loses,1,1.1235955056179776
FORM-CHG,danced,dances,danced→dances,1,1.1235955056179776
FORM-CHG,earned,earns,earned→earns,1,1.1235955056179776
FORM-CHG,man,Man,man→Man,1,1.1235955056179776
FORM-CHG,have,has,have→has,1,1.1235955056179776
FORM-CHG,jumped,jump,jumped→jump,1,1.1235955056179776
FORM-CHG,scientists,Scientists,scientists→Scientists,1,1.1235955056179776
FORM-CHG,has,'ve,has→'ve,1,1.1235955056179776
FORM-CHG,billion,bn,billion→bn,1,1.1235955056179776
FORM-CHG,quoted,quotes,quoted→quotes,1,1.1235955056179776
FORM-CHG,hurled,hurl,hurled→hurl,1,1.1235955056179776
FORM-CHG,raided,raids,raided→raids,1,1.1235955056179776
FORM-CHG,celebrated,celebrates,celebrated→celebrates,1,1.1235955056179776
FORM-CHG,hit,hits,hit→hits,1,1.1235955056179776
FORM-CHG,were,is,were→is,1,1.1235955056179776
FORM-CHG,was,is,was→is,1,1.1235955056179776
FORM-CHG,misspelled,misspells,misspelled→misspells,1,1.1235955056179776
FORM-CHG,is,be,is→be,1,1.1235955056179776
FORM-CHG,filed,file,filed→file,1,1.1235955056179776
FORM-CHG,are,being,are→being,1,1.1235955056179776
FORM-CHG,sold,sells,sold→sells,1,1.1235955056179776
FORM-CHG,messages,message,messages→message,1,1.1235955056179776
FORM-CHG,visiting,visit,visiting→visit,1,1.1235955056179776
FORM-CHG,Parking,parking,Parking→parking,1,1.1235955056179776
FORM-CHG,are,am,are→am,1,1.1235955056179776
FORM-CHG,lauded,lauds,lauded→lauds,1,1.1235955056179776
FORM-CHG,Kids,kids,Kids→kids,1,1.1235955056179776
FORM-CHG,increase,increasing,increase→increasing,1,1.1235955056179776
FORM-CHG,exams,exam,exams→exam,1,1.1235955056179776
FORM-CHG,replacing,replace,replacing→replace,1,1.1235955056179776
FORM-CHG,an,a,an→a,1,1.1235955056179776
FORM-CHG,written,writes,written→writes,1,1.1235955056179776
FORM-CHG,inmates,Inmates,inmates→Inmates,1,1.1235955056179776
FORM-CHG,',‘,'→‘,1,1.1235955056179776
FORM-CHG,performed,performs,performed→performs,1,1.1235955056179776
FORM-CHG,showed,show,showed→show,1,1.1235955056179776
FORM-CHG,grooved,groove,grooved→groove,1,1.1235955056179776
FORM-CHG,learned,learnt,learned→learnt,1,1.1235955056179776
FORM-CHG,kept,keep,kept→keep,1,1.1235955056179776
FORM-CHG,less,lesser,less→lesser,1,1.1235955056179776
FORM-CHG,justice,Justice,justice→Justice,1,1.1235955056179776
FORM-CHG,transferred,transfers,transferred→transfers,1,1.1235955056179776
FORM-CHG,Members,members,Members→members,1,1.1235955056179776
FORM-CHG,Cows,cows,Cows→cows,1,1.1235955056179776
FORM-CHG,Stray,stray,Stray→stray,1,1.1235955056179776
FORM-CHG,Accident,accident,Accident→accident,1,1.1235955056179776
FORM-CHG,gave,give,gave→give,1,1.1235955056179776
FORM-CHG,Pilgrims,pilgrims,Pilgrims→pilgrims,1,1.1235955056179776
FORM-CHG,transactions,transaction,transactions→transaction,1,1.1235955056179776
