feature,pos,headline_value,canonical_value,frequency,context,rule_description
NumType,NOUN,Frac,ABSENT,29,"{""dep_rel"": ""conj"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has NumType=Frac, change to ABSENT"
NumForm,ADJ,Combi,Word,37,"{""dep_rel"": ""amod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has NumForm=Combi, change to Word"
NumForm,NOUN,Combi,Word,37,"{""dep_rel"": ""compound"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has NumForm=Combi, change to Word"
NumForm,NOUN,Word,ABSENT,29,"{""dep_rel"": ""conj"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has NumForm=Word, change to ABSENT"
Number,VERB,ABSENT,Sing,1348,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False""}","When VERB has Number=ABSENT, change to Sing"
Number,ADJ,ABSENT,Sing,871,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has Number=ABSENT, change to Sing"
Number,PROPN,Sing,ABSENT,541,"{""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has Number=Sing, change to ABSENT"
Number,VERB,ABSENT,Plur,517,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Number=ABSENT, change to Plur"
Number,NOUN,Plur,Sing,454,"{""dep_rel"": ""nsubj"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Number=Plur, change to Sing"
Number,NOUN,Sing,Plur,280,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Number=Sing, change to Plur"
Number,NOUN,Sing,ABSENT,220,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Number=Sing, change to ABSENT"
Number,PROPN,Sing,Plur,182,"{""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has Number=Sing, change to Plur"
Number,PROPN,Plur,Sing,78,"{""dep_rel"": ""nsubj"", ""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has Number=Plur, change to Sing"
Number,VERB,Plur,Sing,54,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Number=Plur, change to Sing"
Number,NOUN,Plur,ABSENT,50,"{""dep_rel"": ""nsubj"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Number=Plur, change to ABSENT"
Mood,VERB,Ind,ABSENT,596,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Mood=Ind, change to ABSENT"
