sentence_id,direction,source,target,rule_chain,token_changes,num_rules,events,success
0,C2H,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,Shah say that BJP want to make Ram mandir but Congress creating hurdles ,FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-THE → FW-DEL-AUX-IS → C-DEL-PERIOD,said⇒say → the⇒<DELETED> → wants⇒want → the⇒<DELETED> → the⇒<DELETED> → is⇒<DELETED> → .⇒<DELETED>,7,FORM-CHG:said→say|FW-DEL:the→ABSENT|FORM-CHG:wants→want|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|FW-DEL:is→ABSENT|C-DEL:PERIOD→ABSENT,True
1,C2H,Scientists are close to observing the first ever photo of a black hole.,Scientists are close to observing first ever photo of black hole ,FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-A → C-DEL-PERIOD,the⇒<DELETED> → a⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
2,C2H,A drunk man killed his daughter who was diagnosed with a heart problem.,drunk man kill his daughter who was diagnosed with heart problem ,FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → C-DEL-PERIOD,A⇒<DELETED> → killed⇒kill → a⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:a→ABSENT|FORM-CHG:killed→kill|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
3,C2H,CM Yogi said that one and a half lakh toilets have been set up in Prayagraj for the Kumbh Mela.,CM Yogi say that one and half lakh toilets been set up in Prayagraj for Kumbh Mela ,FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → FW-DEL-AUX-HAVE → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,said⇒say → a⇒<DELETED> → have⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,5,FORM-CHG:said→say|FW-DEL:a→ABSENT|FW-DEL:have→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
4,C2H,Police in Canada can now demand breath samples in bars and at home.,Police in Canada now demand breath samples in bars and at home ,FW-DEL-AUX-CAN → C-DEL-PERIOD,can⇒<DELETED> → .⇒<DELETED>,2,FW-DEL:can→ABSENT|C-DEL:PERIOD→ABSENT,True
5,C2H,"Virat Kohli said, ""Once I retire, I won't pick up the bat again.""","Virat Kohli say , "" Once I retire , I wo n't pick up bat again . """,FORM-CHG-VERB-LEMMA → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE,said⇒say → retire⇒retire → the⇒<DELETED>,3,FORM-CHG:said→say|FORM-CHG:retire→retire|FW-DEL:the→ABSENT,True
6,C2H,A Google investor said that the Android co-founder paid money to own women.,Google investor say that Android co - founder pay money to own women ,FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → FORM-CHG-VERB-LEMMA → C-DEL-PERIOD,A⇒<DELETED> → said⇒say → the⇒<DELETED> → paid⇒pay → .⇒<DELETED>,5,FW-DEL:a→ABSENT|FORM-CHG:said→say|FW-DEL:the→ABSENT|FORM-CHG:paid→pay|C-DEL:PERIOD→ABSENT,True
7,C2H,"Chidambaram said, ""It's due to Congress,"" as the government doubled the GST exemption limit.","Chidambaram say , "" It 's due to Congress , "" as government double GST exemption limit ",FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,said⇒say → the⇒<DELETED> → doubled⇒double → the⇒<DELETED> → .⇒<DELETED>,5,FORM-CHG:said→say|FW-DEL:the→ABSENT|FORM-CHG:doubled→double|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
8,C2H,An IAS topper from J&K said that he is deeply inspired by the Pakistan PM and Kejriwal.,IAS topper from J&K say that he is deeply inspired by Pakistan PM and Kejriwal ,FW-DEL-ARTICLE-AN → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,An⇒<DELETED> → said⇒say → the⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:an→ABSENT|FORM-CHG:said→say|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
9,C2H,The West Bengal Chief Minister mocked PM Modi for using a teleprompter for English speeches.,West Bengal Chief Minister mock PM Modi for using teleprompter for English speeches ,FW-DEL-ARTICLE-THE → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → C-DEL-PERIOD,The⇒<DELETED> → mocked⇒mock → a⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:the→ABSENT|FORM-CHG:mocked→mock|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
