sentence_id,source_canonical,generated_headline,rules_applied_count,events_triggered,success,error
0,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,Shah say that BJP want to make Ram mandir but Congress creating hurdles ,7,FORM-CHG:said→say|FW-DEL:the→ABSENT|FORM-CHG:wants→want|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|FW-DEL:is→ABSENT|C-DEL:PERIOD→ABSENT,True,
1,Scientists are close to observing the first ever photo of a black hole.,Scientists are close to observing first ever photo of black hole ,3,FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
2,A drunk man killed his daughter who was diagnosed with a heart problem.,drunk man kill his daughter who was diagnosed with heart problem ,4,FW-DEL:a→ABSENT|FORM-CHG:killed→kill|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
3,CM Yogi said that one and a half lakh toilets have been set up in Prayagraj for the Kumbh Mela.,CM Yogi say that one and half lakh toilets been set up in Prayagraj for Kumbh Mela ,5,FORM-CHG:said→say|FW-DEL:a→ABSENT|FW-DEL:have→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
4,Police in Canada can now demand breath samples in bars and at home.,Police in Canada now demand breath samples in bars and at home ,2,FW-DEL:can→ABSENT|C-DEL:PERIOD→ABSENT,True,
5,"Virat Kohli said, ""Once I retire, I won't pick up the bat again.""","Virat Kohli say , "" Once I retire , I wo n't pick up bat again . """,3,FORM-CHG:said→say|FORM-CHG:retire→retire|FW-DEL:the→ABSENT,True,
6,A Google investor said that the Android co-founder paid money to own women.,Google investor say that Android co - founder pay money to own women ,5,FW-DEL:a→ABSENT|FORM-CHG:said→say|FW-DEL:the→ABSENT|FORM-CHG:paid→pay|C-DEL:PERIOD→ABSENT,True,
7,"Chidambaram said, ""It's due to Congress,"" as the government doubled the GST exemption limit.","Chidambaram say , "" It 's due to Congress , "" as government double GST exemption limit ",5,FORM-CHG:said→say|FW-DEL:the→ABSENT|FORM-CHG:doubled→double|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
8,An IAS topper from J&K said that he is deeply inspired by the Pakistan PM and Kejriwal.,IAS topper from J&K say that he is deeply inspired by Pakistan PM and Kejriwal ,4,FW-DEL:an→ABSENT|FORM-CHG:said→say|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
9,The West Bengal Chief Minister mocked PM Modi for using a teleprompter for English speeches.,West Bengal Chief Minister mock PM Modi for using teleprompter for English speeches ,4,FW-DEL:the→ABSENT|FORM-CHG:mocked→mock|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
10,Sivan said that he will bring Indian students to ISRO; they don't need to go to NASA.,Sivan say that he bring Indian students to ISRO ; they n't need to go to NASA ,4,FORM-CHG:said→say|FW-DEL:will→ABSENT|FW-DEL:do→ABSENT|C-DEL:PERIOD→ABSENT,True,
11,A boy jumped in front of a metro after fighting with his family over phone use.,boy jump in front of metro after fighting with his family over phone use ,4,FW-DEL:a→ABSENT|FORM-CHG:jumped→jump|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
12,passengers and crew members fell sick on a Royal Caribbean ship.,passengers and crew members fall sick on Royal Caribbean ship ,3,FORM-CHG:fell→fall|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
13,"Infosys' third-quarter profit dropped nearly 30% to ₹3,609 crore.","Infosys ' third - quarter profit drop nearly 30 % to ₹ 3,609 crore ",2,FORM-CHG:dropped→drop|C-DEL:PERIOD→ABSENT,True,
14,Mahindra suggested a gift for the tea-selling couple who toured 23 nations.,Mahindra suggest gift for tea - selling couple who tour 23 nations ,5,FORM-CHG:suggested→suggest|FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|FORM-CHG:toured→tour|C-DEL:PERIOD→ABSENT,True,
15,Wipro's aerospace business has started supplying parts to Boeing.,Wipro 's aerospace business started supplying parts to Boeing ,2,FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
16,"Vikrant said, ""I connect with women directors on a personal level.""","Vikrant say , "" I connect with women directors on personal level . """,3,FORM-CHG:said→say|FORM-CHG:connect→connect|FW-DEL:a→ABSENT,True,
17,Virat and Deepika have been listed as the most valuable Indian celebrities.,Virat and Deepika been listed as most valuable Indian celebrities ,3,FW-DEL:have→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
18,The 'first' openly gay Latin rapper was shot dead in Puerto Rico.,' first ' openly gay Latin rapper was shot dead in Puerto Rico ,2,FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
19,Producer Sandip said that the Modi biopic is not a political film.,Producer Sandip say that Modi biopic is not political film ,4,FORM-CHG:said→say|FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
20,'The Accidental...' was halted in a Kolkata theatre amid protests.,' Accidental ... ' was halted in Kolkata theatre amid protests ,3,FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
21,Kohli and Shastri have received honorary membership of the SCG.,Kohli and Shastri received honorary membership of SCG ,3,FW-DEL:have→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
22,The head of Japan's Olympic Committee is under investigation.,head of Japan 's Olympic Committee is under investigation ,2,FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
23,New Zealand beat Sri Lanka by 35 runs in the sole T20I.,New Zealand beat Sri Lanka by 35 runs in sole T20I,3,FORM-CHG:beat→beat|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
