canonical,reference_headline,generated_headline,bleu1,bleu2,bleu4,meteor,rouge1,rouge2,rougeL,chrF,exact_match,length_ratio
Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,Shah say that BJP want to make Ram mandir but Congress creating hurdles .,0.7142857142857143,0.6201736729460422,0.5437427682227519,0.9759221311475411,0.9600000000000001,0.7826086956521738,0.8,0.9767441860465117,0.0,1.1666666666666667
Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,Scientists are close to observing first ever photo of black hole .,0.8333333333333334,0.7282190812544191,0.5859059370151705,0.8887387387387389,0.9090909090909091,0.7,0.9090909090909091,0.9714285714285714,0.0,1.0909090909090908
A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,Drunk man kill his daughter who was diagnosed with heart problem .,0.6666666666666666,0.5504818825631803,0.28646290158800986,0.9624319660161953,0.9,0.7777777777777777,0.9,0.972972972972973,0.0,1.3333333333333333
CM Yogi said that one and a half lakh toilets have been set up in Prayagraj for the Kumbh Mela.,One and half lakh toilets set up in Prayagraj for Kumbh Mela says CM Yogi,CM Yogi say that one and half lakh toilets been set up in Prayagraj for Kumbh Mela .,0.7777777777777778,0.7094138241225704,0.563257940009042,0.9710965867828613,0.9375,0.7333333333333334,0.7500000000000001,0.9767441860465117,0.0,1.2
Police in Canada can now demand breath samples in bars and at home.,Canada police can now demand breath samples in bars and at home,Police in Canada now demand breath samples in bars and at home .,0.8461538461538461,0.7510676161988107,0.6812455364200614,0.8998702274434806,0.9166666666666666,0.7272727272727273,0.8333333333333334,0.9696969696969697,0.0,1.0833333333333333
"Virat Kohli said, ""Once I retire, I won't pick up the bat again.""","Once I retire,I won't pick up the bat again says Virat Kohli","Virat Kohli say , "" Once I retire , I wo n't pick up bat again . """,0.4444444444444444,0.3233808333817773,0.04568822937712914,0.6084656084656085,0.8571428571428571,0.5384615384615384,0.6428571428571429,0.9545454545454545,0.0,1.5
A Google investor said that the Android co-founder paid money to own women.,Android Co-founder paid money to own women says Google investor,Google investor say that Android co - founder pay money to own women .,0.5,0.3922322702763681,0.21972813874997157,0.7211538461538461,0.8695652173913043,0.5714285714285713,0.6086956521739131,0.9523809523809523,0.0,1.4
"Chidambaram said, ""It's due to Congress,"" as the government doubled the GST exemption limit.",It's due to Cong says Chidambaram as govt doubles GST exemption limit,"Chidambaram say , "" It 's due to Congress , "" as government double GST exemption limit .",0.3888888888888889,0.2619684159977919,0.07312597280946921,0.6530472271213013,0.8461538461538461,0.5,0.6923076923076923,0.9333333333333333,0.0,1.5
An IAS topper from J&K said that he is deeply inspired by the Pakistan PM and Kejriwal.,Deeply inspired by Pak PM and Kejriwal says IAS topper from J&K,IAS topper from J&K say that he is deeply inspired by Pakistan PM and Kejriwal .,0.625,0.5400617248673217,0.2829559628326351,0.8657691282324712,0.8275862068965517,0.5925925925925926,0.41379310344827586,0.9500000000000001,0.0,1.3333333333333333
The West Bengal Chief Minister mocked PM Modi for using a teleprompter for English speeches.,WB CM mocks PM Modi for using teleprompter for english speeches,West Bengal Chief Minister mock PM Modi for using teleprompter for English speeches .,0.5714285714285714,0.554700196225229,0.5142401605028263,0.7959139080083034,0.7500000000000001,0.7272727272727272,0.7500000000000001,0.9500000000000001,0.0,1.2727272727272727
