canonical,reference_headline,generated_headline,bleu1,bleu2,bleu4,meteor,rouge1,rouge2,rougeL,chrF,exact_match,length_ratio
The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",Government confer four Padma Vibhushan and fourteen Padma Bhushan awards this year .,0.5384615384615384,0.4236592728681617,0.31455601883230705,0.7397204366901335,0.6666666666666666,0.45454545454545453,0.6666666666666666,0.909090909090909,0.0,1.0833333333333333
Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",Yuvraj joke about his married life when Gambhir ask him about it .,0.38461538461538464,0.17902871850985821,0.04131551591106297,0.5111151603498542,0.6086956521739131,0.1904761904761905,0.34782608695652173,0.9047619047619048,0.0,1.1818181818181819
Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",Karan Johar said that Hardik and Rahul were gracious when he apologise to them .,0.4666666666666667,0.36514837167011077,0.20333448190047881,0.6832510964912281,0.8,0.5217391304347826,0.64,0.9268292682926829,0.0,1.3636363636363635
Sarfaraz has personally apologised to the South African player he called 'Abey Kaale'.,Sarfaraz personally apologises to SA player he called 'Abey Kaale',Sarfaraz personally apologised to South African player he call ' Abey Kaale ' .,0.3571428571428572,0.23440361546924776,0.04516881220954754,0.6652276295133438,0.8571428571428572,0.7368421052631577,0.8571428571428572,0.9523809523809523,0.0,1.4
"The South African captain has said, ""We forgive Sarfaraz but won't take his remarks lightly.""",We forgive Sarfaraz but won't take his remarks lightly: SA captain,"South African captain said , "" We forgive Sarfaraz but wo n't take his remarks lightly . """,0.4444444444444444,0.3615507630310936,0.20105373454060027,0.6657318376068376,0.7407407407407408,0.56,0.6666666666666665,0.9019607843137256,0.0,1.6363636363636365
Azharuddin has said that Hardik Pandya and KL Rahul have really suffered.,"Hardik Pandya, KL Rahul have really suffered: Azharuddin",Azharuddin said that Hardik Pandya and KL Rahul really suffered .,0.45454545454545453,0.21320071635561047,0.05012578715739066,0.5137215528781793,0.7777777777777777,0.375,0.6666666666666665,0.8571428571428571,0.0,1.375
Gambhir and Chhetri are among nine sports personalities to receive Padma Awards.,"Gambhir, Chhetri among 9 sports personalities to get Padma Awards",Gambhir and Chhetri are among nine sports personalities to receive Padma Awards .,0.5384615384615384,0.3668996928526714,0.1051781439830431,0.7562196601941749,0.7272727272727272,0.3,0.7272727272727272,0.8947368421052632,0.0,1.3
"The New York Times has reported that Zuckerberg may integrate WhatsApp, Instagram, and Messenger.","Zuckerberg may integrate WhatsApp, Instagram, Messenger: NYT","New York Times reported that Zuckerberg integrate WhatsApp , Instagram , and Messenger .",0.14285714285714285,0.033149677206589796,0.0169861974906263,0.12987012987012989,0.5555555555555556,0.25,0.5555555555555556,0.9047619047619048,0.0,2.0
Angola has decriminalised homosexuality.,Angola decriminalises homosexuality,Angola decriminalised homosexuality .,0.5,0.12909944487358058,0.09554427922043669,0.9498207885304659,1.0,1.0,1.0,0.9714285714285714,0.0,1.3333333333333333
"Zee firms lost ₹14,000 crore in market value in a day after a media report.","Zee firms lose ₹14,000 crore market value in a day after media report","Zee firms lose ₹ 14,000 crore in market value in day after media report .",0.7333333333333333,0.6055300708194984,0.31138788080750657,0.8132982719759579,0.9285714285714286,0.7692307692307693,0.9285714285714286,0.9795918367346939,0.0,1.1538461538461537
Nirav Modi's ₹100-crore sea-facing Alibaug bungalow is being demolished.,Nirav Modi's ₹100-crore sea-facing Alibaug bungalow being demolished,Nirav Modi 's ₹ 100 - crore sea - facing Alibaug bungalow being demolished .,0.3333333333333333,0.26726124191242434,0.17395797375642233,0.5563218390804597,1.0,1.0,1.0,0.9787234042553191,0.0,1.875
Malayalam actress Manju has denied campaigning for the Congress.,Malayalam actress Manju denies campaigning for Congress,Malayalam actress Manju denied campaigning for Congress .,0.75,0.6546536707079771,0.23119742295813953,0.9844782983615982,1.0,1.0,1.0,0.972972972972973,0.0,1.1428571428571428
The actor from 'Roma' may miss the Oscars after his US visa was denied three times.,'Roma' actor may miss Oscars after US visa was denied thrice,Actor from ' Roma ' miss Oscars after his US visa was denied three times .,0.5,0.408248290463863,0.22894156860669912,0.6773097826086958,0.7500000000000001,0.45454545454545453,0.6666666666666667,0.9444444444444444,0.0,1.4545454545454546
Gulzar has said that the language politicians use spoils the younger generation.,Language politicians use spoils younger generation: Gulzar,Gulzar said that language politicians use spoil younger generation .,0.5,0.3333333333333333,0.1186840521952098,0.806697108066971,0.8750000000000001,0.7142857142857143,0.75,0.8823529411764706,0.0,1.4285714285714286
"Who is Bhupen Hazarika, late singer who was awarded Bharat Ratna?","Who is Bhupen Hazarika, late singer who was awarded Bharat Ratna?","Who is Bhupen Hazarika , late singer who was awarded Bharat Ratna ?",0.6923076923076923,0.6354889093022426,0.48442732379638637,0.7991622574955908,1.0,1.0,1.0,1.0,0.0,1.1818181818181819
The late actor Kader Khan has been conferred with the Padma Shri.,Late actor Kader Khan conferred with Padma Shri,Late actor Kader Khan been conferred with Padma Shri .,0.8,0.7302967433402215,0.5253819788848316,0.9679878048780488,0.9411764705882353,0.7999999999999999,0.9411764705882353,0.9444444444444444,0.0,1.25
Manjrekar has said that Shami has been a revelation since the Australia series.,Shami has been a revelation since Australia series: Manjrekar,Manjrekar said that Shami been revelation since Australia series .,0.6,0.36514837167011066,0.1242188995129533,0.5616605616605616,0.7777777777777778,0.375,0.6666666666666666,0.918918918918919,0.0,1.1111111111111112
Yuvraj hit his first fifty in competitive cricket since October 2018.,Yuvraj hits 1st fifty in competitive cricket since October 2018,Yuvraj hit his first fifty in competitive cricket since October 2018 .,0.6666666666666666,0.6030226891555271,0.5331675363405771,0.9764705882352942,0.8571428571428572,0.7368421052631577,0.8571428571428572,0.9787234042553191,0.0,1.2
Saina Nehwal has entered the Indonesia Masters semi-finals.,Saina Nehwal enters Indonesia Masters semi-finals,Saina Nehwal entered Indonesia Masters semi - finals .,0.4444444444444444,0.33333333333333337,0.07171781507224269,0.7904761904761907,1.0,1.0,1.0,0.967741935483871,0.0,1.5
"Paresh Rawal has said, ""If Priyanka is a trump card, why did the Congress play with a joker?""","If Priyanka trump card, why Cong played with joker: Paresh Rawal","Paresh Rawal said , "" If Priyanka is trump card , why Congress play with joker ? """,0.3888888888888889,0.2138963159732493,0.03715770152515524,0.6002938034188035,0.8333333333333333,0.5454545454545454,0.6666666666666667,0.9361702127659574,0.0,1.6363636363636365
The Bengaluru-based bike taxi app Rapido has raised ₹52 crore.,Bengaluru-based bike taxi app Rapido raises ₹52 crore,Bengaluru - based bike taxi app Rapido raised ₹ 52 crore .,0.4166666666666667,0.337099931231621,0.22416933501922293,0.701058201058201,1.0,1.0,1.0,0.9767441860465117,0.0,1.5
"NASA's rover, designed to last 90 days, has completed 15 years on Mars.","Designed to last 90 days, NASA rover completes 15 years on Mars","NASA 's rover , designed to last 90 days , completed 15 years on Mars .",0.625,0.5,0.3237722713145643,0.8657691282324712,0.9600000000000001,0.6956521739130435,0.8,0.9545454545454545,0.0,1.3333333333333333
The Andhra Chief Minister has said that he will encourage those who want to have four children.,Will encourage those who want to have four kids: Andhra CM,Andhra Chief Minister said that he encourage those who want to have four children .,0.5333333333333333,0.47809144373375745,0.41374412020518814,0.6962719298245613,0.64,0.5217391304347826,0.56,0.9230769230769231,0.0,1.3636363636363635
The Information and Broadcasting Ministry has increased ad rates for private TV channels.,I&B Ministry increases ad rates for private TV channels,Information and Broadcasting Ministry increased ad rates for private TV channels .,0.5833333333333334,0.5149286505444373,0.43361890903486755,0.859375,0.761904761904762,0.7368421052631577,0.761904761904762,0.9230769230769231,0.0,1.3333333333333333
President Kovind has called the 2019 Lok Sabha polls a 'once-in-a-century moment'.,LS polls 'once-in-a-century moment': President Kovind,President Kovind called 2019 Lok Sabha poll ' once - in - - century moment ' .,0.11764705882352941,0.08574929257125444,0.02432542569851428,0.3599374021909233,0.7000000000000001,0.4444444444444445,0.5,0.8260869565217392,0.0,2.8333333333333335
The Sahitya Akademi-winning writer Krishna Sobti has passed away at the age of 93.,Sahitya Akademi winning writer Krishna Sobti passes away at 93,Sahitya Akademi - winning writer Krishna Sobti passed away at age of 93 .,0.6428571428571429,0.4972451580988469,0.24739977342883948,0.9485576923076924,0.9090909090909091,0.7999999999999999,0.9090909090909091,0.9268292682926829,0.0,1.4
President Kovind has said that India's pluralism is its greatest strength.,India's pluralism is its greatest strength: President Kovind,President Kovind said that India 's pluralism is its greatest strength .,0.5,0.4264014327112209,0.2521193618434983,0.701058201058201,0.9,0.7777777777777777,0.7000000000000001,0.9473684210526315,0.0,1.5
"Pranab Mukherjee, N. Deshmukh, and B. Hazarika have been awarded the Bharat Ratna.","Pranab Mukherjee, N Deshmukh and B Hazarika awarded Bharat Ratna","Pranab Mukherjee , N. Deshmukh , and B. Hazarika been awarded Bharat Ratna .",0.5,0.2773500981126146,0.08737167851715878,0.5504317111459968,0.9523809523809523,0.8421052631578948,0.9523809523809523,0.972972972972973,0.0,1.4
The Supreme Court has set up a new five-member bench to hear the Ayodhya case on January 29.,SC sets up new 5-member bench to hear Ayodhya case on January 29,Supreme Court set up new five - member bench to hear Ayodhya case on January 29 .,0.5882352941176471,0.5423261445466404,0.4527471870952894,0.8184285185642038,0.8275862068965518,0.7407407407407408,0.8275862068965518,0.888888888888889,0.0,1.3076923076923077
A footballer's sister has urged the police to resume the search for the missing plane.,Footballer's sister urges police to resume search for missing plane,Footballer 's sister urged police to resume search for missing plane .,0.6666666666666666,0.6030226891555271,0.5331675363405771,0.8817477608327282,1.0,1.0,1.0,0.9473684210526316,0.0,1.2
"Tim Cook has said, ""Thirty-five years ago, it said hello,"" referring to Apple's Macintosh computer.","yrs ago, it said hello: Tim Cook on Apple's Macintosh computer","Tim Cook said , "" Thirty - five years ago , it say hello , "" referring to Apple 's Macintosh computer .",0.2608695652173913,0.1539981007018036,0.027412292653919493,0.46922047507527603,0.7142857142857143,0.3846153846153846,0.5,0.8695652173913043,0.0,2.090909090909091
The Earth's oldest rock has been found in Moon samples brought back forty-eight years ago.,Earth's oldest rock found in Moon samples brought 48 years ago,Earth 's oldest rock been found in Moon samples bring back forty - eight years ago .,0.47058823529411764,0.3834824944236852,0.19345299022826185,0.6714709051724138,0.7407407407407408,0.56,0.7407407407407408,0.9130434782608695,0.0,1.5454545454545454
The Doomsday Clock remains at 'two minutes to midnight' for 2019.,Doomsday Clock remains at 'two minutes to midnight' for 2019,Doomsday Clock remain at ' two minutes to midnight ' for 2019 .,0.5384615384615384,0.3668996928526714,0.0591460168684858,0.7562196601941749,1.0,1.0,1.0,0.9795918367346939,0.0,1.3
A woman was kidnapped from outside a beauty parlour hours before her wedding.,Woman kidnapped from outside beauty parlour hours before wedding,Woman was kidnapped from outside beauty parlour hours before her wedding .,0.75,0.6396021490668313,0.5491004867761125,0.9498207885304659,0.9,0.6666666666666665,0.9,0.975609756097561,0.0,1.3333333333333333
The Supreme Court has ruled that calling one's wife a prostitute is grave provocation and has cleared a woman of murder.,Calling wife prostitute grave provocation: SC clears woman of murder,Supreme Court ruled that calling one 's wife prostitute is grave provocation and cleared woman of murder .,0.3888888888888889,0.2619684159977919,0.07312597280946921,0.6944444444444445,0.6666666666666667,0.39999999999999997,0.6666666666666667,0.9,0.0,1.8
India has called for resolving the Venezuela crisis through dialogue.,Resolve issue through dialogue: India on Venezuela crisis,India called for resolving Venezuela crisis through dialogue .,0.4444444444444444,0.23570226039551587,0.06030725360407769,0.45925925925925926,0.75,0.2857142857142857,0.375,0.9142857142857143,0.0,1.125
Fifteen of five hundred crocodiles have been removed so far for the seaplane to the Statue of Unity.,of 500 crocodiles removed so far for seaplane to Statue of Unity,Fifteen of five hundred crocodiles been removed so far for seaplane to Statue of Unity .,0.6875,0.6055300708194984,0.539339630419803,0.8780991735537188,0.8148148148148148,0.64,0.8148148148148148,0.8717948717948718,0.0,1.3333333333333333
One hundred eighty-five passengers fell sick on board a plane to Canada.,passengers fall sick on board Canada plane,One hundred eighty - five passengers fall sick on board plane to Canada .,0.5,0.3922322702763681,0.2891784933232572,0.8733103631062814,0.7368421052631579,0.4705882352941177,0.631578947368421,0.8108108108108109,0.0,2.0
Sikhs in the US will donate food and funds to federal workers amid the shutdown.,"Sikhs in US to donate food, funds to federal workers amid shutdown",Sikhs in US donate food and funds to federal workers amid shutdown .,0.7692307692307693,0.6698641270570836,0.49735673561245436,0.815289256198347,0.9166666666666666,0.7272727272727273,0.9166666666666666,0.9411764705882353,0.0,1.0833333333333333
