newspaper,sentence_id,parse_type,feature_id,feature_name,mnemonic,canonical_value,headline_value,canonical_context,headline_context,deleted_punctuation,position,context,before,after,added_punctuation
Times-of-India,1,dependency,FW-DEL,Function Word Deletion,FW-DEL,AUX-DEL,ABSENT,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,dependency,FW-DEL,Function Word Deletion,FW-DEL,SCONJ-DEL,ABSENT,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,dependency,FW-DEL,Function Word Deletion,FW-DEL,ART-DEL,ABSENT,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,det,xcomp,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nsubj,compound,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,ccomp,obj,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,mark,cc,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,xcomp,nsubj,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,det,acl,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,compound,obj,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,obj,conj,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,cc,nsubj,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,dependency,LENGTH-CHG,Sentence Length Change,LENGTH-CHG,18,12,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
