feature,pos,headline_value,canonical_value,frequency,context,rule_description
Mood,VERB,Ind,ABSENT,1888,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Mood=Ind, change to ABSENT"
Mood,VERB,Imp,ABSENT,949,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Mood=Imp, change to ABSENT"
Person,VERB,1,ABSENT,1375,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Person=1, change to ABSENT"
Person,VERB,3,ABSENT,387,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Person=3, change to ABSENT"
Person,VERB,2,ABSENT,69,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Person=2, change to ABSENT"
Number,VERB,ABSENT,Sing,2445,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False""}","When VERB has Number=ABSENT, change to Sing"
Number,ADJ,ABSENT,Sing,1766,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has Number=ABSENT, change to Sing"
Number,NOUN,Plur,Sing,1294,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Number=Plur, change to Sing"
Number,PROPN,Sing,ABSENT,757,"{""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has Number=Sing, change to ABSENT"
Number,NOUN,Sing,ABSENT,668,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Number=Sing, change to ABSENT"
Number,VERB,ABSENT,Plur,417,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Number=ABSENT, change to Plur"
Number,PROPN,Sing,Plur,215,"{""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has Number=Sing, change to Plur"
Number,NOUN,Plur,ABSENT,188,"{""dep_rel"": ""nsubj"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Number=Plur, change to ABSENT"
Number,ADJ,ABSENT,Plur,183,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has Number=ABSENT, change to Plur"
Number,VERB,Sing,ABSENT,149,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Number=Sing, change to ABSENT"
Number,VERB,Plur,Sing,133,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Number=Plur, change to Sing"
Number,NOUN,Sing,Plur,122,"{""dep_rel"": ""compound"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Number=Sing, change to Plur"
Number,PROPN,Plur,Sing,71,"{""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has Number=Plur, change to Sing"
Number,NOUN,Plur,Ptan,33,"{""dep_rel"": ""nsubj"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Number=Plur, change to Ptan"
Tense,VERB,Past,ABSENT,1830,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Tense=Past, change to ABSENT"
Tense,VERB,Pres,ABSENT,1150,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Tense=Pres, change to ABSENT"
Tense,NOUN,ABSENT,Past,43,"{""dep_rel"": ""compound"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Tense=ABSENT, change to Past"
VerbForm,VERB,Fin,ABSENT,2801,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has VerbForm=Fin, change to ABSENT"
VerbForm,VERB,Part,ABSENT,1053,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has VerbForm=Part, change to ABSENT"
VerbForm,VERB,Inf,ABSENT,938,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""True""}","When VERB has VerbForm=Inf, change to ABSENT"
VerbForm,VERB,Ger,ABSENT,203,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has VerbForm=Ger, change to ABSENT"
VerbForm,NOUN,ABSENT,Part,43,"{""dep_rel"": ""compound"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has VerbForm=ABSENT, change to Part"
